membership_type,accuracy,precision,recall,f1_score,r_squared,confidence_mean,combined_score
triangular,0.5753333333333334,0.6385978064652985,0.5753333333333334,0.5552389286400016,0.21117579227887517,0.610740673263848,0.45201998773166363
trapezoidal,0.3446666666666667,0.2103755994200959,0.3446666666666667,0.18065108528474183,-0.5360689638913538,0.9165536931421531,-0.03436492946808686
sigmoid,0.341,0.11628100000000001,0.341,0.17342431021625654,-0.008608592908169399,0.4004860160233625,0.11881443927892875
gaussian,0.3423333333333333,0.12060569105691059,0.3423333333333333,0.1758178451694388,-0.630267697172175,0.9623849099758821,-0.06600781753304535
bell,0.344,0.12103452221478007,0.344,0.17753168703749891,-0.5705150655733426,0.9288376386567109,-0.046882338745753566
